Date,terapia_intensiva,nuovi_attualmente_positivi,tamponi,totale_casi,ricoverati_con_sintomi,totale_attualmente_positivi,dimessi_guariti,totale_ospedalizzati,deceduti,isolamento_domiciliare24/02/2020,2,18,148,18,10,18,0,12,0,6
25/02/2020,2,8,391,26,15,26,0,17,0,9
26/02/2020,3,20,577,47,20,46,0,23,1,23
27/02/2020,6,50,1033,97,36,96,0,42,1,54
28/02/2020,6,47,1277,145,56,143,0,62,2,81
29/02/2020,11,70,1550,217,86,213,0,97,4,116
01/03/2020,13,64,1795,285,127,277,0,140,8,137
02/03/2020,16,47,1973,335,148,324,0,164,11,160
03/03/2020,24,74,2012,420,187,398,4,211,18,187
04/03/2020,26,118,2500,544,256,516,6,282,22,234
05/03/2020,32,142,2884,698,327,658,10,359,30,299
06/03/2020,53,158,3136,870,397,816,17,450,37,366
07/03/2020,64,121,3604,1010,464,937,25,528,48,409
08/03/2020,75,160,4344,1180,542,1097,27,617,56,480
09/03/2020,90,189,4906,1386,576,1286,30,666,70,620
10/03/2020,98,131,5494,1533,669,1417,31,767,85,650
11/03/2020,104,171,6640,1739,745,1588,38,849,113,739
12/03/2020,112,170,7600,1947,814,1758,43,926,146,832
13/03/2020,128,253,8787,2263,942,2011,51,1070,201,941
14/03/2020,152,338,10043,2644,1076,2349,54,1228,241,1121
15/03/2020,169,392,12054,3093,1215,2741,68,1384,284,1357
16/03/2020,197,347,13096,3522,1362,3088,88,1559,346,1529
17/03/2020,223,316,14510,3931,1566,3404,134,1789,393,1615
18/03/2020,247,511,15461,4525,1784,3915,152,2031,458,1884
19/03/2020,260,591,18344,5214,1900,4506,177,2160,531,2346
20/03/2020,267,583,20753,5968,2083,5089,239,2350,640,2739
21/03/2020,265,572,24620,6705,2267,5661,329,2532,715,3129
