Date,terapia_intensiva,nuovi_attualmente_positivi,tamponi,totale_casi,ricoverati_con_sintomi,totale_attualmente_positivi,dimessi_guariti,totale_ospedalizzati,deceduti,isolamento_domiciliare24/02/2020,19,166,1463,172,76,166,0,95,6,71
25/02/2020,25,65,3700,240,79,231,0,104,9,127
26/02/2020,25,18,3208,258,79,249,0,104,9,145
27/02/2020,41,100,3320,403,172,349,40,213,14,136
28/02/2020,47,125,4835,531,235,474,40,282,17,192
29/02/2020,80,78,5723,615,256,552,40,336,23,216
01/03/2020,106,335,6879,984,406,887,73,512,24,375
02/03/2020,127,190,7925,1254,478,1077,139,605,38,472
03/03/2020,167,249,9577,1520,698,1326,139,865,55,461
04/03/2020,209,171,12138,1820,877,1497,250,1086,73,411
05/03/2020,244,280,12354,2251,1169,1777,376,1413,98,364
06/03/2020,309,231,13556,2612,1622,2008,469,1931,135,77
07/03/2020,359,734,15778,3420,1661,2742,524,2020,154,722
08/03/2020,399,630,18534,4189,2217,3372,550,2616,267,756
09/03/2020,440,1118,20135,5469,2802,4490,646,3242,333,1248
10/03/2020,466,-63,21479,5791,3319,4427,896,3785,468,642
11/03/2020,560,1336,25629,7280,3852,5763,900,4412,617,1351
12/03/2020,605,1133,29534,8725,4247,6896,1085,4852,744,2044
13/03/2020,650,836,32700,9820,4435,7732,1198,5085,890,2647
14/03/2020,732,1327,37138,11685,4898,9059,1660,5630,966,3429
15/03/2020,767,984,40369,13272,5500,10043,2011,6267,1218,3776
16/03/2020,823,818,43565,14649,6171,10861,2368,6994,1420,3867
17/03/2020,879,1234,46449,16220,6953,12095,2485,7832,1640,4263
18/03/2020,924,171,48983,17713,7285,12266,3488,8209,1959,4057
19/03/2020,1006,1672,52244,19884,7387,13938,3778,8393,2168,5545
20/03/2020,1050,1482,57174,22264,7735,15420,4295,8785,2549,6635
21/03/2020,1093,1950,66730,25515,8258,17370,5050,9351,3095,8019
22/03/2020,1142,515,70598,27206,9439,17885,5865,10581,3456,7304
